*Vertices 340
1 "人体经络显示屏,2011-06-16"
19 284 0.23
19 285 0.16
19 291 0.06
19 293 0.23
19 299 0.23
19 320 0.13
19 321 0.23
323 19 0.23
19 339 0.19
34 20 0.07
36 20 0.13
73 20 0.11
100 20 0.15
102 20 0.05
105 20 0.11
116 20 0.19
20 125 0.29
175 20 0.1
212 20 0.06
214 20 0.25
20 222 0.45
236 20 0.34
239 20 0.08
248 20 0.08
254 20 0.25
20 286 0.5
289 20 0.61
329 20 0.17
73 21 0.21
100 21 0.07
301 21 1.0
100 22 0.1
116 22 0.27
126 22 0.16
169 22 0.35
172 22 0.2
174 22 0.1
175 22 0.29
212 22 0.08
249 22 0.29
291 22 0.37
305 22 0.27
327 22 0.5
24 23 0.71
100 23 0.07
187 23 0.41
68 24 0.71
100 24 0.1
156 24 0.17
187 24 0.29
100 25 0.07
102 25 0.1
123 25 0.2
160 25 1.0
206 25 0.5
280 25 1.0
296 25 1.0
297 25 0.25
26 34 0.08
36 26 0.54
26 37 0.29
26 39 0.1
26 42 0.29
26 44 0.41
26 46 0.14
26 55 0.29
26 63 0.29
26 73 0.06
26 96 0.39
26 97 0.1
26 98 0.08
26 99 0.13
100 26 0.25
102 26 0.23
26 110 0.2
116 26 0.11
123 26 0.24
26 124 0.29
126 26 0.2
26 132 0.09
133 26 0.17
26 134 0.1
26 137 0.1
26 143 0.2
26 144 0.14
26 152 0.17
26 154 0.17
26 161 0.14
26 163 0.5
164 26 0.22
26 166 0.33
26 167 0.29
26 172 0.32
174 26 0.34
175 26 0.12
26 176 0.35
26 177 0.29
26 178 0.1
26 179 0.16
26 182 0.08
26 184 0.29
26 185 0.22
26 187 0.12
26 189 0.17
26 196 0.29
26 199 0.29
26 200 0.09
26 202 0.29
26 203 0.07
26 207 0.17
26 208 0.29
26 211 0.31
26 212 0.35
26 214 0.14
26 223 0.48
26 224 0.29
26 225 0.2
26 226 0.2
26 228 0.33
26 229 0.43
26 231 0.29
26 232 0.27
26 233 0.29
26 236 0.13
26 239 0.09
26 240 0.11
26 248 0.05
26 249 0.24
264 26 0.23
26 269 0.08
26 270 0.13
26 272 0.13
26 274 0.11
26 275 0.29
279 26 0.29
282 26 0.12
26 289 0.24
297 26 0.29
26 305 0.11
26 308 0.33
26 328 0.38
100 27 0.07
102 27 0.1
136 27 0.71
155 27 0.24
156 27 0.24
174 27 0.15
211 27 0.22
212 27 0.12
297 27 0.25
32 28 0.41
73 28 0.3
100 28 0.1
102 28 0.14
104 28 0.53
134 28 0.5
151 28 1.0
156 28 0.33
248 28 0.23
282 28 0.29
34 30 0.14
100 30 0.07
102 30 0.1
322 30 1.0
100 31 0.07
102 31 0.1
192 31 0.58
220 31 0.33
297 31 0.25
34 32 0.2
32 39 0.1
32 46 0.14
73 32 0.68
76 32 0.29
32 95 0.14
96 32 0.08
32 97 0.1
32 98 0.08
32 99 0.07
100 32 0.25
102 32 0.35
32 104 0.55
105 32 0.4
32 108 0.29
123 32 0.06
32 127 0.12
32 134 0.31
32 151 0.41
156 32 0.2
32 168 0.14
172 32 0.08
32 173 0.12
174 32 0.17
176 32 0.07
32 179 0.16
32 182 0.08
32 189 0.17
203 32 0.3
211 32 0.13
212 32 0.14
32 215 0.1
32 216 0.41
218 32 0.24
32 234 0.44
239 32 0.33
32 240 0.11
248 32 0.56
264 32 0.08
32 273 0.2
32 274 0.11
282 32 0.12
32 288 0.2
32 291 0.07
32 333 0.43
33 48 0.41
33 56 0.58
33 59 0.82
100 33 0.13
102 33 0.12
120 33 0.33
123 33 0.12
33 130 0.82
133 33 0.17
33 134 0.41
33 144 0.29
155 33 0.42
156 33 0.41
174 33 0.09
211 33 0.38
212 33 0.21
33 219 0.58
232 33 0.14
248 33 0.09
33 258 0.33
307 33 0.58
36 34 0.07
34 42 0.14
34 44 0.1
34 51 0.14
34 55 0.14
34 57 0.14
34 61 0.14
34 62 0.14
34 65 0.14
34 67 0.14
34 70 0.14
34 73 0.29
34 74 0.24
34 78 0.14
34 80 0.14
34 81 0.14
34 83 0.14
34 87 0.14
34 95 0.14
96 34 0.11
100 34 0.54
34 101 0.14
102 34 0.46
34 103 0.14
34 104 0.21
34 105 0.37
34 109 0.14
34 112 0.14
34 114 0.14
34 115 0.14
116 34 0.18
34 120 0.04
34 121 0.24
123 34 0.06
34 125 0.08
126 34 0.16
34 132 0.25
133 34 0.08
34 138 0.24
34 141 0.14
34 145 0.14
34 146 0.14
34 148 0.06
34 150 0.14
155 34 0.07
34 157 0.14
34 161 0.14
34 162 0.14
164 34 0.1
34 169 0.07
172 34 0.04
34 173 0.11
174 34 0.14
175 34 0.14
176 34 0.03
34 179 0.04
34 181 0.06
34 183 0.24
34 187 0.17
34 189 0.08
34 190 0.19
34 192 0.08
34 200 0.17
34 201 0.06
34 202 0.14
34 203 0.28
34 204 0.2
34 205 0.12
34 207 0.08
34 208 0.14
211 34 0.03
212 34 0.28
34 216 0.19
34 217 0.24
34 218 0.06
34 220 0.23
223 34 0.05
34 231 0.14
232 34 0.13
34 233 0.14
34 234 0.36
34 235 0.14
34 237 0.1
34 238 0.14
34 239 0.2
34 242 0.14
34 248 0.46
34 252 0.14
34 254 0.14
34 256 0.14
34 259 0.19
264 34 0.04
34 266 0.14
34 274 0.1
34 276 0.14
282 34 0.06
34 284 0.07
34 288 0.1
34 291 0.11
34 292 0.14
34 295 0.14
297 34 0.07
34 298 0.14
34 308 0.04
34 309 0.1
34 311 0.14
34 312 0.2
34 315 0.1
34 316 0.14
34 319 0.14
34 320 0.16
34 322 0.14
323 34 0.27
34 326 0.14
328 34 0.05
34 329 0.23
34 331 0.14
34 333 0.2
34 334 0.14
34 336 0.14
34 338 0.08
34 339 0.28
36 37 0.27
36 42 0.27
36 44 0.38
36 46 0.13
36 55 0.27
36 63 0.4
36 64 0.27
36 90 0.38
36 96 0.29
36 98 0.15
36 99 0.25
100 36 0.28
102 36 0.33
36 105 0.06
36 110 0.38
116 36 0.1
123 36 0.16
126 36 0.18
36 132 0.08
133 36 0.08
36 137 0.19
36 144 0.13
36 152 0.15
36 159 0.19
36 163 0.46
164 36 0.2
36 166 0.31
36 172 0.52
174 36 0.43
175 36 0.16
36 176 0.45
36 177 0.27
36 178 0.18
36 179 0.15
36 182 0.23
36 184 0.27
36 185 0.2
36 187 0.11
36 197 0.19
36 199 0.27
36 211 0.17
36 212 0.35
36 213 0.24
36 214 0.13
36 215 0.09
36 223 0.53
36 224 0.27
36 225 0.38
36 226 0.38
36 228 0.46
36 229 0.53
36 230 0.12
36 231 0.27
36 232 0.31
36 233 0.27
36 236 0.18
36 239 0.22
36 248 0.04
36 249 0.22
36 254 0.13
36 263 0.11
264 36 0.21
36 265 0.27
36 269 0.23
36 271 0.13
36 272 0.24
36 275 0.27
279 36 0.27
282 36 0.11
36 289 0.22
36 291 0.14
297 36 0.33
36 304 0.27
36 305 0.3
36 306 0.2
36 308 0.23
36 328 0.45
36 340 0.19
44 37 0.71
100 37 0.07
102 37 0.1
126 37 0.23
152 37 0.58
163 37 0.58
166 37 0.58
172 37 0.28
176 37 0.24
211 37 0.22
212 37 0.12
223 37 0.33
224 37 1.0
232 37 0.24
289 37 0.41
297 37 0.25
308 37 0.29
328 37 0.33
39 38 0.5
53 38 0.63
98 38 0.39
99 38 0.32
100 38 0.1
102 38 0.14
116 38 0.27
120 38 0.2
123 38 0.29
148 38 0.63
172 38 0.39
174 38 0.21
176 38 0.34
178 38 0.47
179 38 0.39
182 38 0.41
195 38 1.0
212 38 0.17
213 38 0.63
215 38 0.5
232 38 0.33
236 38 0.32
239 38 0.23
248 38 0.11
261 38 1.0
264 38 0.38
269 38 0.41
271 38 0.71
272 38 0.63
297 38 0.18
328 38 0.47
39 46 0.18
39 53 0.32
73 39 0.08
97 39 0.75
98 39 0.78
99 39 0.65
100 39 0.21
102 39 0.25
39 108 0.35
116 39 0.14
120 39 0.31
123 39 0.14
39 127 0.14
137 39 0.63
39 143 0.25
39 148 0.32
39 168 0.18
172 39 0.29
174 39 0.42
176 39 0.69
39 178 0.24
179 39 0.78
181 39 0.47
39 182 0.61
39 195 0.5
39 200 0.11
211 39 0.39
212 39 0.34
39 213 0.32
39 215 0.38
232 39 0.25
236 39 0.16
239 39 0.46
240 39 0.8
248 39 0.17
39 261 0.5
264 39 0.38
269 39 0.71
270 39 0.63
39 271 0.35
39 272 0.32
39 273 0.25
39 274 0.4
39 291 0.18
297 39 0.09
39 306 0.13
308 39 0.41
328 39 0.24
44 42 0.71
55 42 1.0
100 42 0.07
102 42 0.1
126 42 0.23
132 42 0.3
172 42 0.28
174 42 0.15
176 42 0.24
187 42 0.41
212 42 0.12
223 42 0.33
231 42 1.0
232 42 0.24
233 42 1.0
297 42 0.25
308 42 0.29
328 42 0.33
92 43 1.0
100 43 0.07
102 43 0.1
119 43 1.0
158 43 1.0
243 43 1.0
55 44 0.71
100 44 0.1
102 44 0.14
126 44 0.32
132 44 0.21
152 44 0.41
163 44 0.41
166 44 0.41
172 44 0.39
174 44 0.1
176 44 0.34
187 44 0.29
211 44 0.15
212 44 0.17
223 44 0.47
224 44 0.71
231 44 0.71
232 44 0.33
233 44 0.71
289 44 0.29
297 44 0.35
308 44 0.41
328 44 0.47
96 45 0.19
98 45 0.2
99 45 0.32
100 45 0.1
102 45 0.14
116 45 0.14
126 45 0.16
127 45 0.58
133 45 0.21
168 45 0.35
45 170 0.71
174 45 0.21
178 45 0.47
179 45 0.2
185 45 0.27
211 45 0.15
212 45 0.17
215 45 0.5
236 45 0.32
239 45 0.23
263 45 0.29
268 45 0.71
269 45 0.2
273 45 0.5
291 45 0.18
305 45 0.27
306 45 0.53
46 64 0.5
73 46 0.11
96 46 0.13
97 46 0.18
98 46 0.14
99 46 0.23
100 46 0.15
102 46 0.1
46 108 0.5
124 46 0.5
46 127 0.2
133 46 0.15
167 46 0.5
46 168 0.25
46 171 0.5
172 46 0.14
174 46 0.15
176 46 0.24
179 46 0.14
182 46 0.29
185 46 0.19
189 46 0.29
211 46 0.22
212 46 0.12
46 213 0.22
214 46 0.25
46 215 0.18
46 222 0.22
239 46 0.16
240 46 0.19
248 46 0.08
264 46 0.27
46 265 0.5
46 273 0.35
46 304 0.5
46 305 0.19
72 47 1.0
100 47 0.07
154 47 0.58
264 47 0.27
285 47 0.71
59 48 0.5
100 48 0.1
120 48 0.2
130 48 0.5
134 48 0.25
155 48 0.17
156 48 0.33
175 48 0.14
211 48 0.15
212 48 0.08
48 219 0.71
258 48 0.82
93 49 1.0
94 49 1.0
100 49 0.07
102 49 0.1
128 49 1.0
174 49 0.15
189 49 0.58
212 49 0.12
223 49 0.33
227 49 1.0
230 49 0.45
236 49 0.23
250 49 1.0
251 49 1.0
308 49 0.29
335 49 1.0
100 50 0.07
102 50 0.1
105 50 0.23
132 50 0.3
212 50 0.12
217 50 0.45
239 50 0.16
248 50 0.16
288 50 0.71
100 51 0.07
102 51 0.1
312 51 0.5
316 51 1.0
100 52 0.07
175 52 0.2
187 52 0.41
264 52 0.27
291 52 0.26
53 85 0.32
98 53 0.25
99 53 0.21
100 53 0.16
102 53 0.18
116 53 0.34
120 53 0.13
123 53 0.18
126 53 0.21
131 53 0.63
132 53 0.27
142 53 0.32
148 53 0.6
172 53 0.25
174 53 0.2
176 53 0.22
178 53 0.3
179 53 0.25
182 53 0.26
185 53 0.17
53 195 0.63
206 53 0.45
212 53 0.11
53 213 0.4
215 53 0.32
220 53 0.15
232 53 0.21
236 53 0.21
239 53 0.15
248 53 0.07
53 261 0.63
264 53 0.36
269 53 0.26
271 53 0.45
272 53 0.4
297 53 0.22
53 325 0.45
328 53 0.45
63 54 0.35
73 54 0.15
96 54 0.38
100 54 0.1
102 54 0.14
116 54 0.27
123 54 0.14
129 54 1.0
152 54 0.82
166 54 0.41
174 54 0.1
175 54 0.14
194 54 0.71
212 54 0.17
223 54 0.47
232 54 0.17
236 54 0.32
263 54 0.58
54 283 0.71
308 54 0.41
338 54 0.41
100 55 0.07
102 55 0.1
126 55 0.23
132 55 0.3
172 55 0.28
174 55 0.15
176 55 0.24
187 55 0.41
212 55 0.12
223 55 0.33
231 55 1.0
232 55 0.24
233 55 1.0
297 55 0.25
308 55 0.29
328 55 0.33
59 56 0.71
100 56 0.07
102 56 0.1
120 56 0.29
130 56 0.71
134 56 0.35
144 56 0.5
155 56 0.24
156 56 0.24
211 56 0.22
212 56 0.12
248 56 0.16
73 57 0.21
95 57 0.5
100 57 0.07
102 57 0.1
103 57 1.0
104 57 0.38
105 57 0.23
133 57 0.3
173 57 0.41
212 57 0.12
234 57 0.38
239 57 0.16
248 57 0.16
329 57 0.33
58 60 0.71
58 75 0.71
58 79 0.71
86 58 1.0
100 58 0.1
102 58 0.07
249 58 0.58
338 58 0.41
100 59 0.1
102 59 0.07
120 59 0.41
130 59 1.0
134 59 0.5
144 59 0.35
155 59 0.34
156 59 0.33
211 59 0.31
212 59 0.17
59 219 0.71
248 59 0.11
59 258 0.41
75 60 1.0
79 60 1.0
86 60 0.71
100 60 0.07
249 60 0.41
338 60 0.58
100 61 0.07
102 61 0.1
105 61 0.23
121 61 0.58
132 61 0.3
173 61 0.41
174 61 0.15
204 61 0.5
212 61 0.12
218 61 0.41
220 61 0.33
234 61 0.38
239 61 0.16
248 61 0.16
254 61 0.5
266 61 1.0
284 61 0.5
323 61 0.5
331 61 1.0
100 62 0.07
102 62 0.1
203 62 0.26
339 62 0.41
63 73 0.11
96 63 0.4
100 63 0.15
102 63 0.1
63 110 0.35
116 63 0.19
123 63 0.31
63 129 0.35
63 144 0.25
63 152 0.29
159 63 0.35
63 163 0.29
63 166 0.58
172 63 0.14
174 63 0.22
175 63 0.1
63 179 0.14
63 194 0.5
197 63 0.35
63 199 0.5
63 211 0.22
212 63 0.24
223 63 0.67
225 63 0.35
226 63 0.35
228 63 0.58
229 63 0.5
230 63 0.22
232 63 0.24
236 63 0.34
249 63 0.41
263 63 0.41
63 275 0.5
63 289 0.2
297 63 0.13
63 308 0.29
328 63 0.33
63 338 0.29
99 64 0.23
100 64 0.07
102 64 0.1
174 64 0.15
176 64 0.24
182 64 0.29
213 64 0.45
239 64 0.16
264 64 0.27
265 64 1.0
304 64 1.0
305 64 0.38
74 65 0.58
100 65 0.07
102 65 0.1
126 65 0.23
100 66 0.1
101 66 0.35
126 66 0.16
154 66 0.41
175 66 0.14
180 66 0.5
210 66 0.71
212 66 0.17
253 66 0.5
264 66 0.19
291 66 0.18
100 67 0.07
102 67 0.1
141 67 1.0
295 67 1.0
100 68 0.07
156 68 0.24
96 69 0.19
99 69 0.16
100 69 0.1
102 69 0.14
127 69 0.29
172 69 0.2
174 69 0.21
69 178 0.24
211 69 0.15
212 69 0.17
215 69 0.5
230 69 0.32
236 69 0.16
239 69 0.23
263 69 0.29
306 69 0.53
69 340 0.5
100 70 0.07
102 70 0.1
116 70 0.19
150 70 1.0
155 70 0.24
339 70 0.41
100 71 0.07
102 71 0.1
116 71 0.19
100 72 0.07
154 72 0.58
264 72 0.27
285 72 0.71
76 73 0.21
73 87 0.21
73 95 0.21
96 73 0.11
73 97 0.08
73 98 0.06
73 99 0.05
100 73 0.34
102 73 0.39
73 103 0.21
73 104 0.48
105 73 0.49
73 108 0.21
116 73 0.08
123 73 0.09
126 73 0.05
73 127 0.09
73 129 0.15
73 132 0.06
133 73 0.13
73 134 0.23
73 151 0.3
73 152 0.12
156 73 0.15
73 161 0.21
73 166 0.12
73 168 0.11
172 73 0.06
73 173 0.26
174 73 0.19
175 73 0.04
176 73 0.05
73 179 0.12
73 182 0.06
73 186 0.21
73 189 0.12
73 190 0.15
73 194 0.21
73 200 0.07
73 202 0.21
203 73 0.28
205 73 0.1
73 207 0.12
73 208 0.21
211 73 0.09
212 73 0.18
214 73 0.11
73 215 0.08
73 216 0.3
73 217 0.19
218 73 0.26
73 220 0.07
73 222 0.1
223 73 0.07
232 73 0.05
73 234 0.4
236 73 0.1
239 73 0.39
73 240 0.08
248 73 0.55
263 73 0.09
264 73 0.06
73 273 0.15
73 274 0.16
282 73 0.09
73 284 0.11
73 285 0.15
73 288 0.15
73 289 0.09
73 291 0.06
73 301 0.21
73 308 0.06
73 329 0.21
73 333 0.32
73 338 0.12
100 74 0.13
74 101 0.29
102 74 0.12
104 74 0.22
126 74 0.13
132 74 0.17
204 74 0.29
205 74 0.26
212 74 0.07
220 74 0.19
248 74 0.09
74 292 0.58
74 309 0.41
79 75 1.0
86 75 0.71
100 75 0.07
249 75 0.41
338 75 0.58
100 76 0.07
102 76 0.1
105 76 0.23
203 76 0.26
218 76 0.41
239 76 0.16
248 76 0.16
100 78 0.07
102 78 0.1
132 78 0.3
138 78 0.58
181 78 0.45
212 78 0.12
232 78 0.24
248 78 0.16
252 78 1.0
339 78 0.41
86 79 0.71
100 79 0.07
249 79 0.41
338 79 0.58
100 80 0.07
116 80 0.19
200 80 0.32
203 80 0.26
259 80 0.71
100 81 0.07
174 81 0.15
183 81 0.58
212 81 0.12
248 81 0.16
264 81 0.27
85 82 0.71
100 82 0.07
102 82 0.1
148 82 0.45
159 82 0.71
197 82 0.71
264 82 0.27
297 82 0.25
328 82 0.33
100 83 0.07
114 83 1.0
291 83 0.26
100 84 0.07
118 84 1.0
175 84 0.2
222 84 0.45
236 84 0.23
257 84 1.0
100 85 0.1
102 85 0.14
116 85 0.14
126 85 0.16
131 85 0.5
132 85 0.21
148 85 0.32
159 85 0.5
174 85 0.1
197 85 0.5
206 85 0.35
264 85 0.38
297 85 0.35
325 85 0.71
328 85 0.24
100 86 0.1
102 86 0.07
249 86 0.58
338 86 0.41
100 87 0.07
102 87 0.1
126 87 0.23
133 87 0.3
174 87 0.15
232 87 0.24
274 87 0.38
329 87 0.33
100 88 0.07
102 88 0.1
198 88 0.71
254 88 0.5
324 88 1.0
100 89 0.07
332 89 1.0
98 90 0.39
99 90 0.32
100 90 0.1
102 90 0.14
137 90 0.5
172 90 0.2
174 90 0.21
176 90 0.34
178 90 0.24
182 90 0.2
185 90 0.27
212 90 0.17
239 90 0.23
269 90 0.41
271 90 0.35
272 90 0.63
291 90 0.37
305 90 0.53
306 90 0.53
340 90 0.5
100 91 0.07
102 91 0.1
142 91 0.71
174 91 0.15
212 91 0.12
100 92 0.07
102 92 0.1
119 92 1.0
158 92 1.0
243 92 1.0
94 93 1.0
100 93 0.07
102 93 0.1
128 93 1.0
174 93 0.15
189 93 0.58
212 93 0.12
223 93 0.33
227 93 1.0
230 93 0.45
236 93 0.23
250 93 1.0
251 93 1.0
308 93 0.29
335 93 1.0
100 94 0.07
102 94 0.1
128 94 1.0
174 94 0.15
189 94 0.58
212 94 0.12
223 94 0.33
227 94 1.0
230 94 0.45
236 94 0.23
250 94 1.0
251 94 1.0
308 94 0.29
335 94 1.0
100 95 0.15
102 95 0.15
95 103 0.5
104 95 0.38
105 95 0.23
123 95 0.1
133 95 0.15
153 95 0.5
155 95 0.12
156 95 0.12
161 95 0.25
164 95 0.19
173 95 0.2
212 95 0.06
234 95 0.38
239 95 0.16
248 95 0.16
288 95 0.35
291 95 0.13
329 95 0.17
96 98 0.07
96 99 0.06
100 96 0.28
102 96 0.22
96 104 0.1
96 105 0.06
96 112 0.27
116 96 0.21
123 96 0.22
96 124 0.27
126 96 0.06
96 127 0.22
96 129 0.38
96 132 0.08
133 96 0.16
96 138 0.15
96 145 0.27
96 152 0.31
96 154 0.15
159 96 0.19
96 163 0.31
164 96 0.1
96 166 0.15
96 167 0.27
96 168 0.13
96 170 0.27
172 96 0.3
174 96 0.28
175 96 0.05
96 176 0.06
96 177 0.27
96 178 0.09
96 179 0.22
96 183 0.15
96 184 0.27
96 185 0.1
96 187 0.11
96 189 0.31
96 194 0.27
96 196 0.27
197 96 0.19
96 199 0.27
96 211 0.29
212 96 0.35
96 214 0.13
96 215 0.19
96 217 0.12
96 220 0.09
223 96 0.45
225 96 0.38
226 96 0.38
228 96 0.46
229 96 0.53
230 96 0.36
232 96 0.25
96 234 0.1
96 235 0.27
236 96 0.49
96 239 0.13
96 242 0.27
96 248 0.09
249 96 0.22
263 96 0.65
96 269 0.08
96 274 0.1
96 275 0.27
96 277 0.27
96 283 0.27
96 291 0.07
297 96 0.07
96 305 0.1
96 306 0.2
96 308 0.23
96 318 0.27
96 319 0.27
96 320 0.15
328 96 0.27
96 338 0.31
96 339 0.11
98 97 0.78
99 97 0.65
100 97 0.21
102 97 0.22
97 108 0.35
120 97 0.2
97 127 0.29
137 97 0.75
97 143 0.5
97 168 0.35
172 97 0.2
174 97 0.42
176 97 0.6
179 97 0.69
181 97 0.63
97 182 0.61
97 200 0.11
211 97 0.54
212 97 0.34
97 213 0.16
97 215 0.13
232 97 0.08
239 97 0.46
240 97 0.94
248 97 0.11
264 97 0.19
269 97 0.61
270 97 0.79
97 271 0.18
97 273 0.25
97 274 0.4
97 291 0.27
97 305 0.13
97 306 0.13
308 97 0.51
99 98 0.83
100 98 0.27
102 98 0.31
98 108 0.28
116 98 0.16
120 98 0.24
123 98 0.11
126 98 0.06
98 127 0.34
133 98 0.08
137 98 0.78
98 143 0.39
98 148 0.25
98 168 0.42
98 170 0.28
172 98 0.38
174 98 0.53
176 98 0.74
98 178 0.37
179 98 0.77
181 98 0.5
98 182 0.72
98 185 0.1
98 195 0.39
98 200 0.09
211 98 0.48
212 98 0.43
98 213 0.37
98 215 0.39
232 98 0.2
236 98 0.19
239 98 0.59
240 98 0.73
248 98 0.13
98 261 0.39
263 98 0.11
264 98 0.3
269 98 0.88
270 98 0.62
98 271 0.55
98 272 0.5
98 273 0.2
98 274 0.31
98 291 0.43
297 98 0.07
98 305 0.42
98 306 0.42
308 98 0.4
328 98 0.18
98 340 0.2
100 99 0.32
102 99 0.37
99 108 0.23
116 99 0.13
120 99 0.2
123 99 0.09
126 99 0.05
99 127 0.47
133 99 0.07
99 134 0.08
137 99 0.65
99 143 0.32
99 148 0.21
99 168 0.46
99 170 0.23
172 99 0.38
174 99 0.64
176 99 0.78
99 178 0.69
179 99 0.7
181 99 0.41
99 182 0.73
99 185 0.35
99 195 0.32
99 200 0.07
211 99 0.45
212 99 0.49
99 213 0.51
99 215 0.57
230 99 0.1
232 99 0.16
236 99 0.26
239 99 0.72
240 99 0.61
248 99 0.11
249 99 0.09
99 261 0.32
263 99 0.09
264 99 0.43
99 265 0.23
99 268 0.23
269 99 0.79
270 99 0.51
99 271 0.46
99 272 0.51
99 273 0.32
99 274 0.26
99 291 0.36
297 99 0.06
99 304 0.23
99 305 0.52
99 306 0.52
308 99 0.33
328 99 0.15
99 340 0.32
100 101 0.15
102 100 0.72
100 103 0.07
100 104 0.19
100 105 0.32
100 106 0.07
100 107 0.07
100 108 0.07
100 109 0.07
100 110 0.1
100 111 0.07
100 112 0.07
100 113 0.07
100 114 0.07
100 115 0.07
116 100 0.38
100 117 0.07
100 118 0.07
100 119 0.07
100 120 0.25
100 121 0.13
100 122 0.07
123 100 0.36
100 124 0.07
100 125 0.13
126 100 0.32
100 127 0.18
100 128 0.07
100 129 0.1
100 130 0.1
100 131 0.1
100 132 0.24
133 100 0.24
100 134 0.21
100 135 0.07
100 136 0.1
100 137 0.21
100 138 0.13
100 139 0.07
100 140 0.07
100 141 0.07
100 142 0.1
100 143 0.1
100 144 0.15
100 145 0.07
100 146 0.07
100 147 0.07
100 148 0.16
100 149 0.07
100 150 0.07
100 151 0.1
100 152 0.13
100 153 0.07
100 154 0.13
100 155 0.3
100 156 0.31
100 157 0.07
100 158 0.07
100 159 0.1
100 160 0.07
100 161 0.15
100 162 0.07
100 163 0.13
164 100 0.19
100 165 0.07
100 166 0.13
100 167 0.07
100 168 0.15
100 169 0.15
100 170 0.07
100 171 0.07
100 172 0.27
100 173 0.18
174 100 0.5
175 100 0.36
100 176 0.3
100 177 0.07
100 178 0.22
100 179 0.27
100 180 0.1
100 181 0.16
100 182 0.25
100 183 0.13
100 184 0.07
100 185 0.19
100 186 0.07
100 187 0.18
100 188 0.07
100 189 0.13
100 190 0.1
100 191 0.07
100 192 0.13
100 193 0.07
100 194 0.07
100 195 0.1
100 196 0.07
100 197 0.1
100 198 0.1
100 199 0.07
100 200 0.23
100 201 0.16
100 202 0.07
100 203 0.28
100 204 0.15
100 205 0.16
100 206 0.15
100 207 0.13
100 208 0.07
100 209 0.07
100 210 0.07
100 211 0.34
100 212 0.62
100 213 0.16
100 214 0.15
100 215 0.21
100 216 0.1
100 217 0.16
100 218 0.18
100 219 0.07
100 220 0.22
100 221 0.07
100 222 0.16
100 223 0.22
100 224 0.07
100 225 0.1
100 226 0.1
100 227 0.07
100 228 0.13
100 229 0.15
100 230 0.16
100 231 0.07
100 232 0.31
100 233 0.07
100 234 0.19
100 235 0.07
100 236 0.32
100 237 0.1
100 238 0.07
100 239 0.45
100 240 0.19
100 241 0.13
100 242 0.07
100 243 0.07
100 245 0.07
100 246 0.07
100 247 0.07
100 248 0.45
100 249 0.18
100 250 0.07
100 251 0.07
100 252 0.07
100 253 0.1
100 254 0.15
100 255 0.1
100 256 0.07
100 257 0.07
100 258 0.13
100 259 0.1
100 260 0.07
100 261 0.1
100 262 0.07
100 263 0.18
264 100 0.28
100 265 0.07
100 266 0.07
100 267 0.07
100 268 0.07
100 269 0.25
100 270 0.16
100 271 0.15
100 272 0.16
100 273 0.1
100 274 0.19
100 275 0.07
100 276 0.07
100 277 0.07
100 278 0.07
279 100 0.07
100 280 0.07
100 281 0.07
282 100 0.18
100 283 0.07
100 284 0.15
100 285 0.1
100 286 0.07
100 287 0.07
100 288 0.1
100 289 0.18
100 290 0.07
100 291 0.28
100 292 0.07
100 293 0.07
100 294 0.07
100 295 0.07
100 296 0.07
297 100 0.29
100 298 0.07
100 299 0.07
100 300 0.07
100 301 0.07
100 302 0.07
100 303 0.07
100 304 0.07
100 305 0.19
100 306 0.19
100 307 0.07
100 308 0.25
100 309 0.1
100 310 0.07
100 311 0.07
100 312 0.15
100 313 0.07
100 314 0.07
100 315 0.1
100 316 0.07
100 317 0.07
100 318 0.07
100 319 0.07
100 320 0.13
100 321 0.07
100 322 0.07
100 323 0.15
100 324 0.07
100 325 0.07
100 326 0.07
100 327 0.1
100 328 0.22
100 329 0.22
100 330 0.07
100 331 0.07
100 332 0.07
100 333 0.15
100 334 0.07
100 335 0.07
100 336 0.07
100 337 0.07
100 338 0.13
100 339 0.18
100 340 0.1
102 101 0.1
104 101 0.19
105 101 0.11
121 101 0.29
123 101 0.1
132 101 0.15
148 101 0.22
101 165 0.5
175 101 0.2
101 180 0.71
182 101 0.14
183 101 0.29
192 101 0.29
205 101 0.22
101 209 0.5
101 210 0.5
212 101 0.24
220 101 0.33
239 101 0.08
248 101 0.16
101 292 0.5
101 309 0.35
320 101 0.29
102 103 0.1
102 104 0.27
102 105 0.42
102 107 0.1
102 108 0.1
102 110 0.07
116 102 0.27
102 119 0.1
102 120 0.23
102 121 0.18
123 102 0.29
102 125 0.06
126 102 0.28
102 127 0.25
102 128 0.1
102 129 0.14
102 130 0.07
102 131 0.14
102 132 0.21
133 102 0.24
102 134 0.14
102 136 0.07
102 137 0.22
102 138 0.06
102 139 0.1
102 141 0.1
102 142 0.14
102 143 0.07
102 144 0.15
102 146 0.1
102 148 0.23
102 149 0.1
102 150 0.1
102 151 0.14
102 152 0.18
102 153 0.1
102 155 0.22
102 156 0.24
102 157 0.1
102 158 0.1
102 159 0.07
102 160 0.1
102 161 0.1
102 163 0.18
164 102 0.23
102 166 0.12
102 168 0.2
102 169 0.05
102 170 0.1
102 172 0.31
102 173 0.17
174 102 0.55
175 102 0.17
102 176 0.34
102 177 0.1
102 178 0.27
102 179 0.31
102 181 0.14
102 182 0.26
102 183 0.06
102 184 0.1
102 185 0.19
102 187 0.08
102 189 0.12
